Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.116446,0.0,0.06457,0.0,0.0,0.0,0,0,0.0,0.0,100
GCR,0.1,0.1,0.114238,0.16,0.063466,110237.302,0.0,0.0,10,0,0.5,0.3,100
BAUR,0.1,0.1,0.114238,0.16,0.064018,131686.911,0.0,0.0,10,0,0.6,0.2,100
DAR,0.1,0.1,0.114238,0.16,0.064018,82056.131,0.0,0.0,10,0,0.5,0.4,100
GCR,0.2,0.2,0.111479,0.24,0.061258,147747.464,0.0,0.0,20,0,0.55,0.3,100
BAUR,0.2,0.2,0.112583,0.24,0.06181,180792.286,0.0,0.0,20,0,0.5,0.3,100
DAR,0.2,0.2,0.112583,0.24,0.062914,180802.982,0.0,0.0,20,0,0.5,0.25,100
GCR,0.3,0.3,0.107616,0.32,0.057395,180827.245,0.0,0.0,30,0,0.6333,0.1333,100
BAUR,0.3,0.3,0.110375,0.32,0.059051,180779.329,0.0,0.0,30,0,0.6333,0.1667,100
DAR,0.3,0.3,0.108168,0.32,0.057947,180799.306,0.0,0.0,30,0,0.6,0.1667,100
