router_name,domain,budget,n_samples,final_accuracy
AgentA_Only,finance,0.0,929,0.0
AgentA_Only,geology,0.0,1385,0.0
AgentA_Only,medicine,0.0,1110,0.0
BAUR,finance,0.1,929,0.371367
BAUR,finance,0.2,929,0.363832
BAUR,finance,0.3,929,0.371367
BAUR,geology,0.1,1385,0.33935
BAUR,geology,0.2,1385,0.348014
BAUR,geology,0.3,1385,0.33935
BAUR,medicine,0.1,1110,0.347748
BAUR,medicine,0.2,1110,0.333333
BAUR,medicine,0.3,1110,0.356757
DAR,finance,0.1,929,0.389666
DAR,finance,0.2,929,0.389666
DAR,finance,0.3,929,0.389666
DAR,geology,0.1,1385,0.350903
DAR,geology,0.2,1385,0.362455
DAR,geology,0.3,1385,0.34657
DAR,medicine,0.1,1110,0.364865
DAR,medicine,0.2,1110,0.382883
DAR,medicine,0.3,1110,0.357658
GCR,finance,0.1,929,0.393972
GCR,finance,0.2,929,0.409042
GCR,finance,0.3,929,0.396125
GCR,geology,0.1,1385,0.355957
GCR,geology,0.2,1385,0.373285
GCR,geology,0.3,1385,0.347292
GCR,medicine,0.1,1110,0.372973
GCR,medicine,0.2,1110,0.381081
GCR,medicine,0.3,1110,0.367568
