Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.133803,0.0,0.06338,0.0,0.0,0.0,0,0,0.0,0.0,20
GCR,0.1,0.1,0.133803,0.2,0.06338,68342.533,0.0,0.0,2,0,0.0,0.5,20
WUR,0.1,0.1,0.133803,0.2,0.06338,69668.423,0.0,0.0,2,0,0.0,0.5,20
DGCR,0.1,0.1,0.126761,0.0,0.056338,67311.943,0.0,0.0,2,0,0.5,0.0,20
DWUR,0.1,0.1,0.133803,0.0,0.077465,65714.108,0.0,0.0,2,0,0.5,0.0,20
GCR,0.2,0.2,0.140845,0.4,0.070423,64135.704,0.0,0.0,4,0,0.25,0.5,20
WUR,0.2,0.2,0.140845,0.2,0.070423,62490.195,0.0,0.0,4,0,0.25,0.25,20
DGCR,0.2,0.2,0.133803,0.0,0.070423,66145.397,0.0,0.0,4,0,0.75,0.0,20
DWUR,0.2,0.2,0.140845,0.0,0.098592,61840.974,0.0,0.0,4,0,0.75,0.0,20
GCR,0.3,0.3,0.133803,0.4,0.084507,63198.884,0.0,0.0,6,0,0.3333,0.3333,20
WUR,0.3,0.3,0.133803,0.2,0.098592,66266.649,0.0,0.0,6,0,0.5,0.1667,20
DGCR,0.3,0.3,0.133803,0.2,0.084507,70671.306,0.0,0.0,6,0,0.6667,0.0,20
DWUR,0.3,0.3,0.140845,0.0,0.091549,67443.354,0.0,0.0,6,0,0.8333,0.0,20
