Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.133803,0.0,0.06338,0.0,0.0,0.0,0,0,0.0,0.0,20
GCR,0.1,0.1,0.133803,0.2,0.06338,66927.39,0.0,0.0,2,0,0.0,0.5,20
WUR,0.1,0.1,0.133803,0.2,0.06338,59684.434,0.0,0.0,2,0,0.0,0.5,20
DGCR,0.1,0.1,0.126761,0.0,0.056338,65558.595,0.0,0.0,2,0,0.5,0.0,20
DWUR,0.1,0.1,0.147887,0.0,0.077465,64677.152,0.0,0.0,2,0,0.5,0.0,20
GCR,0.2,0.2,0.140845,0.4,0.070423,68521.767,0.0,0.0,4,0,0.25,0.5,20
WUR,0.2,0.2,0.140845,0.2,0.070423,65646.195,0.0,0.0,4,0,0.25,0.25,20
DGCR,0.2,0.2,0.147887,0.0,0.070423,68007.519,0.0,0.0,4,0,0.75,0.0,20
DWUR,0.2,0.2,0.169014,0.0,0.098592,67041.844,0.0,0.0,4,0,0.75,0.0,20
GCR,0.3,0.3,0.147887,0.4,0.084507,62647.679,0.0,0.0,6,0,0.3333,0.3333,20
WUR,0.3,0.3,0.161972,0.2,0.098592,65551.087,0.0,0.0,6,0,0.5,0.1667,20
DGCR,0.3,0.3,0.161972,0.2,0.084507,63617.494,0.0,0.0,6,0,0.6667,0.0,20
DWUR,0.3,0.3,0.169014,0.0,0.091549,63786.225,0.0,0.0,6,0,0.8333,0.0,20
