run_id,model_name,router_name,budget,target_call_rate,actual_call_rate,call_rate_valid,CER,BoundaryDeletionRecallAtB,SubstitutionCER,AER,CVR,p95_latency_ms,avg_token_usage,prompt_version,n_valid
20260417_run150120,Claude Sonnet 4.6,GCR,0.05,0.05,0.0499,True,0.088383,0.132208,0.055109,0.0,0.0,17076.768,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,0.1,0.1,0.0999,True,0.088383,0.233474,0.055109,0.0,0.0,17934.645,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,0.2,0.2,0.2001,True,0.088383,0.37834,0.055109,0.0,0.0,17860.66,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,0.3,0.3,0.2999,True,0.088383,0.4782,0.055109,0.0,0.0,17860.894,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,0.5,0.5,0.5,True,0.088383,0.652602,0.055109,0.0,0.0,17926.008,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,0.8,0.8,0.7999,True,0.088383,0.85654,0.055109,0.0,0.0,17886.919,0.0,prompt_v1.1,3424
20260417_run150120,Claude Sonnet 4.6,GCR,1.0,1.0,1.0,True,0.088383,1.0,0.055109,0.0,0.0,17759.305,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.05,0.05,0.0499,True,0.081975,0.132208,0.053785,0.8012,0.0,11231.119,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.1,0.1,0.0999,True,0.077117,0.233474,0.052079,0.7836,0.0,11764.635,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.2,0.2,0.2001,True,0.070536,0.37834,0.048161,0.7766,0.0,11723.0,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.3,0.3,0.2999,True,0.065295,0.4782,0.044958,0.7468,0.0,11944.05,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.5,0.5,0.5,True,0.0592,0.652602,0.042154,0.6799,0.0,11768.722,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,0.8,0.8,0.7999,True,0.055143,0.85654,0.041022,0.5699,0.0,11715.131,0.0,prompt_v1.1,3424
20260417_run150120,Qwen3-VL-8B,GCR,1.0,1.0,1.0,True,0.054795,1.0,0.041371,0.4918,0.0,11620.871,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.05,0.05,0.0499,True,0.088383,0.132208,0.055109,0.0,0.0,24982.228,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.1,0.1,0.0999,True,0.088383,0.233474,0.055091,0.0029,0.0,25016.842,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.2,0.2,0.2001,True,0.088383,0.37834,0.055074,0.0029,0.0,25373.093,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.3,0.3,0.2999,True,0.0884,0.4782,0.055056,0.0029,0.0,25103.552,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.5,0.5,0.5,True,0.088418,0.652602,0.055039,0.0023,0.0,25084.03,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,0.8,0.8,0.7999,True,0.088418,0.85654,0.055039,0.0015,0.0,25148.799,0.0,prompt_v1.1,3424
20260417_run150120,Gemini 3 Flash Preview,GCR,1.0,1.0,1.0,True,0.088418,1.0,0.055039,0.0012,0.0,25050.194,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.05,0.05,0.0499,True,0.091238,0.132208,0.056171,0.8596,0.0,2493.113,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.1,0.1,0.0999,True,0.09432,0.233474,0.056432,0.8596,0.0,2528.523,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.2,0.2,0.2001,True,0.101233,0.37834,0.056885,0.8496,0.0,2494.025,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.3,0.3,0.2999,True,0.109434,0.4782,0.056937,0.8442,0.0,2497.784,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.5,0.5,0.5,True,0.124791,0.652602,0.059496,0.8277,0.0,2478.448,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,0.8,0.8,0.7999,True,0.152163,0.85654,0.065712,0.8076,0.0,2419.575,0.0,prompt_v1.1,3424
20260417_run150120,MiniCPM-V 4.5,GCR,1.0,1.0,1.0,True,0.172291,1.0,0.069961,0.7976,0.0,2419.232,0.0,prompt_v1.1,3424
